Messages;Total Time (sec)
3;0.0017
4;0.0018
5;0.0019
6;0.0020
7;0.0019
8;0.0021
9;0.0020
10;0.0022
11;0.0022
12;0.0025
13;0.0023
14;0.0026
15;0.0036
16;0.0025
17;0.0027
18;0.0026
19;0.0028
20;0.0026
21;0.0026
22;0.0027
23;0.0026
24;0.0028
25;0.0033
26;0.0034
27;0.0032
28;0.0031
29;0.0032
30;0.0040
